순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
75,271560,오리온,"80,500","-2,100","-2.5","53,549","4,345,353,700","82,400","83,200","80,400","3,182,658,626,000","0.20","39,536,132",,,
76,042660,대우조선해양,"29,650","800","2.8","158,261","4,629,776,750","28,800","30,400","28,100","3,178,650,546,800","0.20","107,205,752",,,
77,030000,제일기획,"27,550","-500","-1.8","165,363","4,556,824,400","28,100","28,100","27,250","3,169,385,748,750","0.20","115,041,225",,,
78,028050,삼성엔지니어링,"16,100","650","4.2","1,467,396","23,675,865,950","15,850","16,400","15,850","3,155,600,000,000","0.20","196,000,000",,,
79,008560,메리츠종금증권,"5,100","-100","-1.9","1,319,175","6,720,854,490","5,200","5,220","5,050","3,141,414,711,900","0.20","615,963,669",,,
80,008770,호텔신라,"79,700","-3,600","-4.3","758,327","60,946,174,400","82,900","82,900","79,200","3,128,075,243,700","0.20","39,248,121",,,
81,009830,한화케미칼,"19,050","-250","-1.3","511,596","9,740,615,700","19,150","19,250","18,650","3,076,180,474,500","0.20","161,479,290",,,
82,000120,CJ대한통운,"133,000","-3,000","-2.2","47,078","6,283,097,500","135,000","137,000","131,000","3,034,041,752,000","0.19","22,812,344",,,
83,084990,헬릭스미스,"187,300","-2,200","-1.2","115,030","21,927,357,200","187,500","194,700","187,300","2,988,607,498,000","0.19","15,956,260",,,
84,008930,한미사이언스,"46,100","-950","-2.0","110,147","5,057,945,500","47,100","47,500","45,000","2,984,645,846,000","0.19","64,742,860",,,
85,005387,현대차2우B,"81,400","-1,800","-2.2","84,647","6,919,680,200","83,200","83,600","81,100","2,969,915,711,400","0.19","36,485,451",,,
86,003670,포스코케미칼,"47,900","-2,500","-5.0","503,765","24,346,045,600","49,800","50,200","47,450","2,921,335,738,000","0.19","60,988,220",,,
87,007070,GS리테일,"37,600","-700","-1.8","131,410","4,977,303,000","38,300","38,700","37,350","2,895,200,000,000","0.18","77,000,000",,,
88,003410,쌍용양회,"5,590","20","0.4","623,893","3,498,080,200","5,570","5,670","5,550","2,816,575,136,050","0.18","503,859,595",,,
89,000100,유한양행,"218,000","-5,500","-2.5","41,248","9,003,247,500","222,500","223,500","216,000","2,785,411,070,000","0.18","12,777,115",,,
90,001040,CJ,"94,000","-2,200","-2.3","51,223","4,828,217,300","95,500","96,000","93,600","2,742,637,812,000","0.17","29,176,998",,,
91,006360,GS건설,"33,250","50","0.2","440,088","14,555,859,000","33,200","33,650","32,300","2,657,485,236,000","0.17","79,924,368",,,
92,011070,LG이노텍,"111,500","-5,000","-4.3","90,795","10,255,864,000","116,500","117,000","111,500","2,638,882,430,500","0.17","23,667,107",,,
93,002380,KCC,"244,000","-7,500","-3.0","14,681","3,599,524,000","249,500","250,500","243,500","2,575,789,172,000","0.16","10,556,513",,,
94,004170,신세계,"259,500","-10,500","-3.9","47,842","12,624,034,500","270,000","275,500","258,500","2,554,824,469,500","0.16","9,845,181",,,
95,011780,금호석유,"82,200","-1,000","-1.2","106,223","8,749,305,600","83,000","83,800","81,300","2,504,444,200,200","0.16","30,467,691",,,
96,028670,팬오션,"4,665","-60","-1.3","1,135,258","5,310,658,885","4,680","4,730","4,640","2,493,765,350,655","0.16","534,569,207",,,
