종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
068790,DMS,"4,585","0","0.00","4,595","4,585","90,046","412,570,665","4,605","4,630","4,470","500",원(KRW),"23,032,487","105,603,952,895",
004840,DRB동일,"5,210","10","0.19","5,210","5,200","3,552","18,497,630","5,190","5,220","5,180","500",원(KRW),"19,930,000","103,835,300,000",
241520,DSC인베스트먼트,"3,050","20","0.66","3,050","3,045","36,809","112,138,055","3,030","3,065","3,025","500",원(KRW),"18,019,383","54,959,118,150",
155660,DSR,"3,905","150","3.99","3,905","3,895","27,153","104,671,360","3,710","3,910","3,710","500",원(KRW),"16,000,000","62,480,000,000",
069730,DSR제강,"3,990","80","2.05","4,000","3,990","54,390","214,407,975","3,880","4,015","3,850","500",원(KRW),"14,400,000","57,456,000,000",
017940,E1,"50,200","0","0.00","50,300","50,200","2,532","127,269,050","50,400","50,600","49,800","5,000",원(KRW),"6,860,000","344,372,000,000",
245620,EDGC,"4,830","50","1.05","4,855","4,830","56,555","271,620,795","4,700","4,890","4,700","100",원(KRW),"36,172,940","174,715,300,200",
037370,EG,"9,020","220","2.50","9,020","8,980","38,742","347,207,200","8,870","9,020","8,870","1,000",원(KRW),"7,500,000","67,650,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
007700,F&F,"79,200","4,900","6.59","79,200","79,100","161,327","12,733,019,000","75,400","81,500","74,900","500",원(KRW),"15,400,000","1,219,680,000,000",
130500,GH신소재,"2,715","50","1.88","2,715","2,700","91,566","245,709,180","2,660","2,730","2,555","500",원(KRW),"11,000,000","29,865,000,000",
114090,GKL,"19,200","-200","1.03","19,200","19,150","192,566","3,729,443,200","19,350","19,650","19,000","500",원(KRW),"61,855,670","1,187,628,864,000",
032860,GMR 머티리얼즈,"491","1","0.20","493","491","237,954","117,086,197","484","502","484","500",원(KRW),"67,558,840","33,171,390,440",
900290,GRT,"1,715","40","2.39","1,720","1,715","107,058","182,275,735","1,695","1,740","1,640","0",중국위안(CNY),"67,375,000","115,548,125,000",
078930,GS,"47,500","-350","0.73","47,650","47,500","82,117","3,920,269,650","47,700","48,200","47,500","5,000",원(KRW),"92,915,378","4,413,480,455,000",
083450,GST,"6,300","80","1.29","6,300","6,290","33,593","210,212,530","6,300","6,320","6,150","500",원(KRW),"9,317,745","58,701,793,500",
006360,GS건설,"33,200","600","1.84","33,200","33,150","573,146","19,160,499,800","32,400","34,400","32,400","5,000",원(KRW),"79,924,368","2,653,489,017,600",
001250,GS글로벌,"2,335","35","1.52","2,335","2,330","139,780","321,010,320","2,275","2,340","2,270","2,500",원(KRW),"82,533,764","192,716,338,940",
007070,GS리테일,"39,400","-1,200","2.96","39,450","39,400","166,536","6,602,829,250","40,500","40,550","39,250","1,000",원(KRW),"77,000,000","3,033,800,000,000",
078935,GS우,"35,800","150","0.42","35,800","35,650","2,456","87,890,500","35,700","35,950","35,650","5,000",원(KRW),"1,784,826","63,896,770,800",
028150,GS홈쇼핑,"162,900","3,400","2.13","162,900","162,500","17,249","2,790,836,500","160,900","163,200","158,700","5,000",원(KRW),"6,562,500","1,069,031,250,000",
045890,GV,"2,220","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"37,677,788","83,644,689,360",
